iter	Logloss
0	0.6115614672
1	0.5438211962
2	0.4881243629
3	0.4415542651
4	0.4034457088
5	0.3717055035
6	0.3453059677
7	0.3236572045
8	0.3063635728
9	0.2918447176
10	0.2797112341
11	0.2694398405
12	0.2611387943
13	0.2537433044
14	0.2470907553
15	0.2419617972
16	0.2374860948
17	0.2342108574
18	0.2307997802
19	0.2274097704
20	0.2248218308
21	0.2223016805
22	0.2202563533
23	0.2188127688
24	0.2172442949
25	0.2157028152
26	0.2145132988
27	0.2133705124
28	0.2123319813
29	0.211433224
30	0.2104896211
31	0.2095175258
32	0.2086765272
33	0.207966199
34	0.2073011161
35	0.2065114197
36	0.2059438442
37	0.2053772727
38	0.2047175709
39	0.2040695554
40	0.203546078
41	0.2031542651
42	0.2027198255
43	0.2023939613
44	0.2020657843
45	0.2015576014
46	0.201100997
47	0.2007510038
48	0.2003612386
49	0.199935893
50	0.1994411235
51	0.1989155631
52	0.1984812925
53	0.197999933
54	0.1976011437
55	0.1971799179
56	0.1968152553
57	0.1964443749
58	0.1961501406
59	0.1958771207
60	0.1955935821
61	0.1951284165
62	0.19482276
63	0.1945920187
64	0.1942632496
65	0.1939980003
66	0.1937586853
67	0.1935389405
68	0.1933012873
69	0.1930551441
70	0.1927357922
71	0.192505572
72	0.1923316298
73	0.1921209811
74	0.1917777414
75	0.1913120655
76	0.1910660823
77	0.1908511328
78	0.1905477924
79	0.1903214651
80	0.1899265377
81	0.1896844167
82	0.1894080658
83	0.1890872415
84	0.1888969081
85	0.1886796962
86	0.1883742519
87	0.1882642239
88	0.188055715
89	0.1878004023
90	0.1875557821
91	0.1873126111
92	0.1870071313
93	0.1866700582
94	0.1863491942
95	0.1861511284
96	0.1858382221
97	0.1855539743
98	0.1853448192
99	0.1850249451
100	0.1846670112
101	0.1844098217
102	0.1842219853
103	0.1840200554
104	0.1837567823
105	0.1834522484
106	0.1831958902
107	0.1829362271
108	0.1828156868
109	0.1825168738
110	0.1822847511
111	0.1820927965
112	0.1818172092
113	0.1814797277
114	0.181311131
115	0.1811047339
116	0.1808850268
117	0.1806598146
118	0.180538919
119	0.1802400477
120	0.1799666423
121	0.1797439413
122	0.1795954842
123	0.1794264913
124	0.1791790655
125	0.178946696
126	0.1787619856
127	0.1785296754
128	0.1783369324
129	0.1779251158
130	0.177740164
131	0.1776214676
132	0.1774876278
133	0.1772159356
134	0.177031986
135	0.1766093031
136	0.1763816843
137	0.1762525439
138	0.176030081
139	0.1759318389
140	0.1757150012
141	0.1752830572
142	0.1750805993
143	0.1749155307
144	0.1746934241
145	0.1744568943
146	0.1741746475
147	0.1739282385
148	0.1737474665
149	0.1735265452
150	0.1733691884
151	0.173216797
152	0.1728966384
153	0.1726259391
154	0.1724382715
155	0.1723005021
156	0.1719412763
157	0.1717834452
158	0.1716014348
