iter	Passed	Remaining
407	4136	6001
408	4145	5990
409	4155	5980
410	4165	5970
411	4175	5959
412	4185	5948
413	4195	5938
414	4205	5928
415	4216	5918
416	4226	5908
417	4236	5898
418	4246	5888
419	4256	5877
420	4266	5867
421	4276	5856
422	4287	5848
423	4297	5838
424	4307	5827
425	4318	5818
426	4328	5808
427	4338	5798
428	4349	5789
429	4359	5778
430	4369	5767
431	4378	5757
432	4388	5746
433	4398	5736
434	4408	5725
435	4418	5715
436	4427	5704
437	4437	5694
438	4447	5683
439	4456	5672
440	4466	5662
441	4476	5651
442	4486	5640
443	4496	5630
444	4506	5620
445	4516	5609
446	4525	5599
447	4535	5588
448	4545	5578
449	4555	5567
450	4565	5557
451	4575	5546
452	4585	5536
453	4595	5526
454	4604	5515
455	4614	5505
456	4624	5494
457	4634	5484
458	4644	5473
459	4654	5463
460	4663	5452
461	4673	5442
462	4683	5432
463	4693	5421
464	4702	5410
465	4712	5400
466	4722	5389
467	4731	5378
468	4741	5367
469	4750	5357
470	4760	5346
471	4770	5336
472	4779	5325
473	4789	5315
474	4799	5304
475	4808	5293
476	4818	5283
477	4828	5272
478	4837	5261
479	4846	5250
480	4855	5239
481	4865	5228
482	4874	5217
483	4884	5207
484	4893	5196
485	4903	5185
486	4912	5174
487	4921	5163
488	4931	5153
489	4940	5142
490	4949	5131
491	4958	5120
492	4968	5109
493	4977	5098
494	4986	5087
495	4996	5077
496	5005	5066
497	5015	5055
498	5025	5045
499	5047	5047
500	5063	5043
501	5073	5032
502	5082	5021
503	5091	5010
504	5100	4999
505	5109	4988
506	5118	4977
507	5127	4966
508	5136	4954
509	5145	4943
510	5154	4932
511	5162	4920
512	5171	4909
513	5180	4898
514	5189	4887
515	5198	4875
516	5207	4864
517	5215	4853
518	5224	4842
519	5233	4830
520	5242	4819
521	5251	4808
522	5260	4797
523	5268	4786
524	5278	4775
525	5287	4764
526	5295	4753
527	5305	4742
528	5314	4731
529	5322	4720
530	5331	4709
531	5342	4699
532	5351	4688
533	5363	4680
534	5373	4670
535	5383	4660
536	5396	4652
537	5407	4643
538	5417	4633
539	5429	4625
540	5440	4616
541	5450	4605
542	5462	4597
543	5474	4588
544	5483	4577
545	5495	4569
546	5507	4560
547	5516	4550
548	5527	4541
549	5537	4530
550	5546	4519
551	5555	4508
552	5563	4497
553	5572	4486
554	5581	4475
555	5590	4464
556	5599	4453
557	5607	4442
558	5616	4430
559	5624	4419
560	5633	4408
561	5642	4397
562	5651	4386
563	5659	4375
564	5668	4364
565	5676	4352
566	5685	4341
567	5694	4330
568	5703	4320
569	5711	4308
570	5720	4298
571	5729	4287
572	5738	4276
573	5747	4265
574	5756	4254
575	5764	4243
576	5773	4232
577	5782	4221
578	5790	4210
579	5800	4200
580	5808	4189
581	5817	4177
582	5825	4166
583	5834	4156
584	5843	4145
585	5851	4134
586	5860	4123
587	5869	4112
588	5878	4101
589	5887	4091
590	5895	4080
591	5904	4069
592	5913	4058
593	5921	4047
594	5930	4036
595	5938	4025
596	5947	4014
597	5956	4003
598	5964	3992
599	5973	3982
600	5981	3971
601	5990	3960
602	5999	3949
603	6007	3939
604	6016	3928
605	6025	3917
606	6033	3906
607	6043	3896
608	6068	3895
609	6078	3886
610	6088	3876
611	6098	3866
612	6108	3856
613	6118	3846
614	6128	3836
615	6137	3826
616	6147	3816
617	6157	3805
618	6167	3796
619	6176	3785
620	6186	3775
621	6196	3765
622	6207	3756
623	6219	3747
624	6229	3737
625	6238	3727
626	6248	3717
627	6257	3706
628	6267	3696
629	6277	3686
630	6287	3676
631	6296	3666
632	6306	3656
633	6315	3646
634	6325	3636
635	6335	3626
636	6345	3615
637	6354	3605
638	6364	3595
639	6373	3585
640	6383	3575
641	6393	3565
642	6403	3555
643	6413	3545
644	6426	3536
645	6436	3527
646	6447	3517
647	6457	3507
648	6467	3497
649	6476	3487
650	6486	3477
651	6496	3467
652	6505	3457
653	6515	3446
654	6525	3436
655	6535	3426
656	6544	3416
657	6554	3406
658	6563	3396
659	6573	3386
660	6583	3376
661	6592	3365
662	6601	3355
663	6611	3345
664	6620	3335
665	6629	3324
666	6639	3314
667	6648	3304
668	6657	3294
669	6666	3283
670	6676	3273
671	6685	3263
672	6694	3252
673	6704	3242
674	6713	3232
675	6723	3222
676	6733	3212
677	6742	3202
678	6752	3192
679	6761	3181
680	6770	3171
681	6780	3161
682	6789	3151
683	6798	3141
684	6808	3130
685	6817	3120
686	6827	3110
687	6836	3100
688	6845	3089
689	6854	3079
690	6864	3069
691	6873	3059
692	6882	3048
693	6892	3038
694	6901	3028
695	6910	3018
696	6920	3008
697	6929	2998
698	6938	2987
699	6948	2977
700	6958	2967
701	6967	2957
702	6977	2947
703	6986	2937
704	6995	2927
705	7004	2917
706	7014	2906
707	7023	2896
708	7032	2886
709	7041	2876
710	7051	2866
711	7060	2856
712	7070	2846
713	7126	2854
714	7136	2844
715	7146	2834
716	7156	2824
717	7166	2814
718	7175	2804
719	7184	2794
720	7194	2783
721	7203	2773
722	7212	2763
723	7221	2752
724	7230	2742
725	7239	2732
726	7248	2721
727	7257	2711
728	7267	2701
729	7276	2691
730	7285	2680
731	7294	2670
732	7302	2660
733	7312	2649
734	7321	2639
735	7330	2629
736	7338	2618
737	7348	2608
738	7357	2598
739	7366	2588
740	7375	2577
741	7384	2567
742	7393	2557
743	7402	2547
744	7412	2537
745	7421	2526
746	7430	2516
747	7439	2506
748	7448	2496
749	7457	2485
750	7466	2475
751	7475	2465
752	7485	2455
753	7494	2445
754	7504	2435
755	7513	2424
756	7522	2414
757	7531	2404
758	7540	2394
759	7550	2384
760	7559	2374
761	7568	2363
762	7577	2353
763	7586	2343
764	7595	2333
765	7604	2323
766	7613	2312
767	7622	2302
768	7631	2292
769	7640	2282
770	7649	2272
771	7658	2261
772	7667	2251
773	7676	2241
774	7685	2231
775	7694	2221
776	7704	2211
777	7713	2200
778	7722	2190
779	7731	2180
780	7740	2170
781	7749	2160
782	7758	2150
783	7767	2139
784	7776	2129
785	7785	2119
786	7794	2109
787	7803	2099
788	7812	2089
789	7821	2079
790	7830	2069
791	7839	2058
792	7849	2048
793	7858	2038
794	7867	2028
795	7876	2018
796	7885	2008
797	7894	1998
798	7903	1988
799	7912	1978
800	7921	1967
801	7930	1957
802	7939	1947
803	7948	1937
804	7958	1927
805	7967	1917
806	7976	1907
807	7985	1897
808	7994	1887
809	8003	1877
810	8013	1867
811	8022	1857
812	8030	1847
813	8040	1837
814	8049	1827
815	8058	1817
816	8067	1807
817	8076	1797
818	8085	1786
819	8095	1777
820	8104	1767
821	8113	1756
822	8122	1746
823	8131	1736
824	8143	1727
825	8177	1722
826	8187	1712
827	8196	1702
828	8205	1692
829	8214	1682
830	8223	1672
831	8232	1662
832	8241	1652
833	8250	1642
834	8259	1632
835	8268	1622
836	8278	1612
837	8287	1602
838	8296	1591
839	8305	1581
840	8314	1571
841	8322	1561
842	8332	1551
843	8341	1541
844	8350	1531
845	8359	1521
846	8368	1511
847	8377	1501
848	8387	1491
849	8396	1481
850	8405	1471
851	8414	1461
852	8424	1451
853	8432	1441
854	8442	1431
855	8451	1421
856	8459	1411
857	8468	1401
858	8477	1391
859	8486	1381
860	8496	1371
861	8504	1361
862	8513	1351
863	8522	1341
864	8532	1331
865	8541	1321
866	8550	1311
867	8559	1301
868	8568	1291
869	8577	1281
870	8587	1271
871	8596	1261
872	8604	1251
873	8614	1241
874	8623	1231
875	8632	1221
876	8641	1211
877	8650	1202
878	8660	1192
879	8670	1182
880	8679	1172
881	8688	1162
882	8698	1152
883	8707	1142
884	8717	1132
885	8727	1122
886	8736	1113
887	8746	1103
888	8756	1093
889	8765	1083
890	8775	1073
891	8784	1063
892	8794	1053
893	8803	1043
894	8813	1033
895	8823	1024
896	8832	1014
897	8842	1004
898	8851	994
899	8861	984
900	8870	974
901	8880	964
902	8889	954
903	8899	945
904	8909	935
905	8918	925
906	8928	915
907	8937	905
908	8946	895
909	8956	885
910	8965	875
911	8974	865
912	8984	856
913	8993	846
914	9003	836
915	9012	826
916	9022	816
917	9032	806
918	9041	796
919	9051	787
920	9060	777
921	9069	767
922	9078	757
923	9087	747
924	9096	737
925	9105	727
926	9115	717
927	9124	707
928	9133	698
929	9142	688
930	9151	678
931	9160	668
932	9170	658
933	9199	650
934	9214	640
935	9224	630
936	9233	620
937	9242	610
938	9251	601
939	9260	591
940	9269	581
941	9278	571
942	9287	561
943	9296	551
944	9305	541
945	9313	531
946	9322	521
947	9331	511
948	9340	501
949	9349	492
950	9358	482
951	9366	472
952	9376	462
953	9385	452
954	9394	442
955	9403	432
956	9412	422
957	9420	413
958	9429	403
959	9438	393
960	9447	383
961	9455	373
962	9464	363
963	9473	353
964	9482	343
965	9490	334
966	9499	324
967	9508	314
968	9518	304
969	9527	294
970	9535	284
971	9544	274
972	9553	265
973	9562	255
974	9571	245
975	9580	235
976	9588	225
977	9597	215
978	9606	206
979	9615	196
980	9624	186
981	9633	176
982	9642	166
983	9651	156
984	9660	147
985	9668	137
986	9677	127
987	9686	117
988	9695	107
989	9703	98
990	9713	88
991	9722	78
992	9730	68
993	9739	58
994	9748	48
995	9757	39
996	9766	29
997	9775	19
998	9784	9
999	9793	0
